createdAt,culture,doneMissionCount,farmName,harvest,idBusinessUnit,lateMissionCount,pendingMissionCount,pestCount,photoProgrammedAt,plotName,primaryPest,requestGPS,trapCode,trapId,trapInfestationLevel,trapStatus,trapType,trapBatteryStatus,damage_weight,infest_numeric,alert_index,acima_alert,acima_control,acima_damage,pest_delta,dias_desde_ultima_leitura,taxa_crescimento_diario,trend,surtos_consecutivos,eficacia_missao_pct,priority_status,data_leitura
2025-11-26 11:02:32.671000+00:00,Milho,2,-,2025/2026,53560,0,0,4.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB1,1135051,CONTROL,ACTIVE,CONVENTIONAL,,5,1.0,5.0,True,True,False,-13.0,0.0,-13.0,Estável/Caindo,1,100.0,🟢 NORMAL,2025-11-26
2025-11-26 11:02:32.671000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Lagarta Spodoptera,False,FARMLAB1,1135051,-,ACTIVE,CONVENTIONAL,,5,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,1,0.0,🟢 NORMAL,2025-11-26
2025-11-26 11:16:19.771000+00:00,Milho,5,-,2025/2026,53560,0,0,8.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB4,1135053,DAMAGE,ACTIVE,CONVENTIONAL,,5,3.0,15.0,True,True,True,0.0,0.0,0.0,Crescente,1,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-26
2025-11-26 11:16:19.771000+00:00,Milho,2,-,2025/2026,53560,2,0,6.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB4,1135053,DAMAGE,ACTIVE,CONVENTIONAL,,5,3.0,15.0,True,True,False,-2.0,0.0,-2.0,Crescente,2,50.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-26
2025-11-26 11:16:19.771000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Lagarta Spodoptera,False,FARMLAB4,1135053,-,ACTIVE,CONVENTIONAL,,5,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,2,0.0,🟢 NORMAL,2025-11-26
2025-11-26 11:16:48.877000+00:00,Milho,9,-,2025/2026,53560,0,0,121.0,07:00:00,-,Cigarrinha,False,CIGARRINHA4,1135054,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,True,0.0,0.0,0.0,Crescente,1,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-26
2025-11-26 11:16:48.877000+00:00,Milho,1,-,2025/2026,53560,0,0,68.0,07:00:00,-,Cigarrinha,False,CIGARRINHA4,1135054,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,True,-53.0,0.0,-53.0,Crescente,2,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-26
2025-11-26 11:16:48.877000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Cigarrinha,False,CIGARRINHA4,1135054,-,ACTIVE,CONVENTIONAL,,4,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,2,0.0,🟢 NORMAL,2025-11-26
2025-11-26 11:18:44.467000+00:00,Milho,7,-,2025/2026,53560,0,0,126.0,07:00:00,-,Cigarrinha,False,CIGARRINHA1,1135055,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,True,0.0,0.0,0.0,Crescente,1,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-26
2025-11-26 11:18:44.467000+00:00,Milho,2,-,2025/2026,53560,1,0,3.0,07:00:00,-,Cigarrinha,False,CIGARRINHA1,1135055,LOW,ACTIVE,CONVENTIONAL,,4,1.0,4.0,False,False,False,-123.0,0.0,-123.0,Estável/Caindo,1,66.7,🟢 NORMAL,2025-11-26
2025-11-26 11:18:44.467000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Cigarrinha,False,CIGARRINHA1,1135055,-,ACTIVE,CONVENTIONAL,,4,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,1,0.0,🟢 NORMAL,2025-11-26
2025-11-26 11:21:47.897000+00:00,Milho,4,-,2025/2026,53560,0,0,3.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB3,1135056,ALERT,ACTIVE,CONVENTIONAL,,5,2.0,10.0,True,False,False,0.0,0.0,0.0,Crescente,1,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-26
2025-11-26 11:21:47.897000+00:00,Milho,3,-,2025/2026,53560,1,0,2.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB3,1135056,ALERT,ACTIVE,CONVENTIONAL,,5,2.0,10.0,True,False,False,-1.0,0.0,-1.0,Crescente,2,75.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-26
